match_date,home_team,away_team,league_name,season_info,bookmaker,odd_type,odd_value,match_url
2020-07-05T15:30:00Z,Hacken,Hammarby,Allsvenskan,2020-2021,Pinnacle,Under +3.5,1.39,https://www.oddsportal.com/football/sweden/allsvenskan-2020/hacken-hammarby-Q9biLeti/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,1xBet,Over +2.5,1.86,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,1xBet,Under +2.5,2.04,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,888sport,Over +2.5,1.76,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,888sport,Under +2.5,2.06,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,bwin,Over +2.5,1.70,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,bwin,Under +2.5,2.05,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,Pinnacle,Over +2.5,1.79,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,Pinnacle,Under +2.5,2.09,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,1xBet,Over +3,2.40,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,1xBet,Under +3,1.57,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,Pinnacle,Over +3,2.33,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,Pinnacle,Under +3,1.65,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,1xBet,Over +3.5,2.99,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,1xBet,Under +3.5,1.37,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,888sport,Over +3.5,2.95,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,888sport,Under +3.5,1.40,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,bwin,Over +3.5,2.70,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,bwin,Under +3.5,1.40,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,Pinnacle,Over +3.5,2.95,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
2020-07-05T15:30:00Z,Sirius,Orebro,Allsvenskan,2020-2021,Pinnacle,Under +3.5,1.43,https://www.oddsportal.com/football/sweden/allsvenskan-2020/sirius-orebro-bJYzK027/
